1.106708 cert_ms23,11.1.498295 Live,12.1.700123 cert_ms30_oct19
1FFC,1616,1A8D
1FFD,1617,1A8E
1FFE,1618,1A8F
1FFF,1619,1A90
2000,161A,1A91
2001,161B,1A92
2002,161C,1A93
2003,161D,1A94
21BB,1784,1C57
2004,161E,1A95
2005,161F,1A96
2006,1620,1A97
2007,1621,1A98
21BC,1785,1C58
2008,1622,1A99
2009,1623,1A9A
200A,1624,1A9B
200B,1625,1A9C
200C,1626,1A9D
200D,1627,1A9E
200E,1628,1A9F
200F,1629,1AA0
2010,162A,1AA1
2011,162B,1AA2
2012,162C,1AA3
2013,162D,1AA4
2014,162E,1AA5
2015,162F,1AA6
2016,1630,1AA7
2017,1631,1AA8
2018,1632,1AA9
2019,1633,1AAA
201A,1634,1AAB
201B,1635,1AAC
201C,1636,1AAD
21BD,1786,1C59
21BE,1787,1C5A
201D,1637,1AAF
1C29,0FA8,1506
1C2A,0FAC,150A
219A,1763,1C36
219B,1764,1C37
219C,1765,1C38
2522,1BB7,2229
219E,1767,1C3A
219F,1768,1C3B
2198,1761,1C34
219D,1766,1C39
04F3,040C,0431
04F4,040D,0432
04F5,040E,0433
04F6,040F,0434
0505,041E,0443
0506,041F,0444
0507,0420,0445
0508,0421,0446
0509,0422,0447
0387,02A0,02C4
0388,02A1,02C5
0389,02A2,02C6
038A,02A3,02C7
038B,02A4,02C8
038C,02A5,02C9
038D,02A6,02CA
038E,02A7,02CB
038F,02A8,02CC
0396,02AF,02D4
0391,02AA,02CF
0392,02AB,02D0
0393,02AC,02D1
0394,02AD,02D2
0395,02AE,02D3
0397,02B0,02D5
0390,02A9,02CE
050A,0423,0448
0398,02B1,02D6
050B,0424,0449
050C,0425,044A
039D,02B6,02DB
039E,02B7,02DC
039F,02B8,02DD
03A0,02B9,02DE
03A1,02BA,02DF
03A2,02BB,02E0
03A3,02BC,02E1
04BB,03D4,03F9
050D,0426,044B
050E,0427,044C
04BC,03D5,03FA
050F,0428,044D
0510,0429,044E
029D,01B1,01CF
03DD,02F6,031B
02A0,01B4,01D2
0511,042A,044F
04BE,03D9,03FE
02A1,01B5,01D3
0512,042B,0450
0513,042C,0451
0514,042D,0452
033A,024E,026D
033B,024F,026E
033C,0250,026F
033D,0251,0270
0383,029C,02C0
0384,029D,02C1
0385,029E,02C2
0386,029F,02C3
01EE,0101,011F
0399,02B2,02D7
039A,02B3,02D8
039B,02B4,02D9
039C,02B5,02DA
0218,012B,0149
029E,01B2,01D0
04BF,03DA,03FF
04C0,03DB,0400
04C1,03DC,0401
02A3,01B7,01D5
04C2,03DD,0402
04C3,03DE,0403
04C4,03DF,0404
0554,046D,0492
0555,046E,0493
0556,046F,0494
0557,0470,0495
0562,047B,04A0
0563,047C,04A1
0564,047D,04A2
0565,047E,04A3
0566,047F,04A4
0567,0480,04A5
0568,0481,04A6
0569,0482,04A7
056A,0483,04A8
056B,0484,04A9
056C,0485,04AA
056D,0486,04AB
056E,0487,04AC
056F,0488,04AE
0570,0489,04AF
0571,048A,04B0
0572,048B,04B1
0573,048C,04B2
0574,048D,04B3
0575,048E,04B4
0576,048F,04B5
0577,0490,04B6
0578,0491,04B7
0579,0492,04B8
024A,015D,017B
0581,049A,04C0
0582,049B,04C1
0583,049C,04C2
0584,049D,04C3
0585,049E,04C4
0586,049F,04C5
0587,04A0,04C6
199C,0ECC,1429
199D,0ECD,142A
199E,0ECE,142B
1907,0E31,1394
190E,0E38,139B
190F,0E39,139C
1910,0E3A,139D
1911,0E3B,139E
1912,0E3C,139F
1913,0E3D,13A0
1914,0E3E,13A1
1915,0E3F,13A2
1916,0E40,13A3
1917,0E41,13A4
1918,0E42,13A5
1919,0E43,13A6
191A,0E44,13A7
191B,0E45,13A8
191C,0E46,13A9
191D,0E47,13AA
1971,0E9B,13FE
1972,0E9C,13FF
1973,0E9D,1400
1933,0E5D,13C0
1A14,0F44,14A1
